"param","est","true","sd","n","tau","EY","B","H0A","H0Y","seed"
"p1",-0.381557207387602,-0.5,0.213310026977903,24,5,0.5,200,TRUE,TRUE,6000001
"p2",0.0787860356248224,0,0.162230408491968,24,5,0.5,200,TRUE,TRUE,6000001
"p3",-0.126574896127201,0,0.157249445131681,24,5,0.5,200,TRUE,TRUE,6000001
"p4",-0.0631345959372382,0,0.224828563870693,24,5,0.5,200,TRUE,TRUE,6000001
"m1",-0.91102006724554,-0.5,0.299275014014698,24,5,0.5,200,TRUE,TRUE,6000001
"m2",0.0876842785745164,0,0.211087736516486,24,5,0.5,200,TRUE,TRUE,6000001
"m3",0.207446782487707,0,0.218109954662648,24,5,0.5,200,TRUE,TRUE,6000001
"m4",0.130276171742283,0,0.304047304667987,24,5,0.5,200,TRUE,TRUE,6000001
"p1",-0.488302194786512,-0.5,0.0707414335716629,48,10,0.5,200,TRUE,TRUE,6000001
"p2",-0.0152933814743891,0,0.0524839204938453,48,10,0.5,200,TRUE,TRUE,6000001
"p3",0.00748910548903581,0,0.0522022137467768,48,10,0.5,200,TRUE,TRUE,6000001
"p4",-0.0285120802616496,0,0.0743503436207659,48,10,0.5,200,TRUE,TRUE,6000001
"m1",-0.420128840467847,-0.5,0.0896872591561501,48,10,0.5,200,TRUE,TRUE,6000001
"m2",-0.0350823978197256,0,0.066349262712837,48,10,0.5,200,TRUE,TRUE,6000001
"m3",-0.0253277469523362,0,0.066575769816011,48,10,0.5,200,TRUE,TRUE,6000001
"m4",0.0278386944213645,0,0.0933840405707238,48,10,0.5,200,TRUE,TRUE,6000001
"p1",-0.0628333145520474,-0.2,0.224053195071279,24,5,0.5,200,FALSE,TRUE,6000001
"p2",0.0857785435779229,0,0.169070380294182,24,5,0.5,200,FALSE,TRUE,6000001
"p3",-0.0820050450625374,0,0.163241697102879,24,5,0.5,200,FALSE,TRUE,6000001
"p4",-1.14145834693179,-1,0.243394516727535,24,5,0.5,200,FALSE,TRUE,6000001
"m1",-0.855025664985327,-0.2,0.286922476880782,24,5,0.5,200,FALSE,TRUE,6000001
"m2",0.178339600001136,0,0.206284720498614,24,5,0.5,200,FALSE,TRUE,6000001
"m3",0.396511431325877,0,0.212741484785514,24,5,0.5,200,FALSE,TRUE,6000001
"m4",-0.954603872257416,-1,0.341922775792416,24,5,0.5,200,FALSE,TRUE,6000001
"p1",-0.233359598629566,-0.2,0.0734936598406682,48,10,0.5,200,FALSE,TRUE,6000001
"p2",0.0234633288784206,0,0.0542185801885213,48,10,0.5,200,FALSE,TRUE,6000001
"p3",0.0278880151825534,0,0.0539755715358935,48,10,0.5,200,FALSE,TRUE,6000001
"p4",-1.02220574727934,-1,0.0789977800306677,48,10,0.5,200,FALSE,TRUE,6000001
"m1",-0.0633394905227762,-0.2,0.086264744589941,48,10,0.5,200,FALSE,TRUE,6000001
"m2",-0.108086039553079,0,0.0648159921994241,48,10,0.5,200,FALSE,TRUE,6000001
"m3",-0.117036709833577,0,0.0650622085449101,48,10,0.5,200,FALSE,TRUE,6000001
"m4",-0.78236184571107,-1,0.109273763201854,48,10,0.5,200,FALSE,TRUE,6000001
"p1",0.146859909371513,-0.2,0.253883285664959,24,5,0.5,200,FALSE,FALSE,6000001
"p2",-0.0705689557611654,0,0.176327137143123,24,5,0.5,200,FALSE,FALSE,6000001
"p3",-0.296247797795546,0,0.173057229057098,24,5,0.5,200,FALSE,FALSE,6000001
"p4",-0.741003855170442,-1,0.243649322099159,24,5,0.5,200,FALSE,FALSE,6000001
"m1",-0.752261448594062,-0.2,0.296573119047988,24,5,0.5,200,FALSE,FALSE,6000001
