"param","est","true","sd","n","tau","EY","B","H0A","H0Y","seed"
"p1",-0.560063205636194,-0.5,0.202542069676588,24,5,0.5,200,TRUE,TRUE,5000001
"p2",-0.17252513858965,0,0.155584043944781,24,5,0.5,200,TRUE,TRUE,5000001
"p3",0.197111019640243,0,0.161644352804837,24,5,0.5,200,TRUE,TRUE,5000001
"p4",0.110203689454905,0,0.227858828442249,24,5,0.5,200,TRUE,TRUE,5000001
"m1",-0.432652783901625,-0.5,0.264470035058608,24,5,0.5,200,TRUE,TRUE,5000001
"m2",-0.111392454295897,0,0.215549226850542,24,5,0.5,200,TRUE,TRUE,5000001
"m3",0.103135882966626,0,0.204649697240176,24,5,0.5,200,TRUE,TRUE,5000001
"m4",-0.119038987390849,0,0.299983262685676,24,5,0.5,200,TRUE,TRUE,5000001
"p1",-0.542818452153322,-0.5,0.0679190930404514,48,10,0.5,200,TRUE,TRUE,5000001
"p2",0.0640184483512234,0,0.0515870998414731,48,10,0.5,200,TRUE,TRUE,5000001
"p3",0.00291316341527465,0,0.0512660121639157,48,10,0.5,200,TRUE,TRUE,5000001
"p4",0.0188420445750419,0,0.0736590078373463,48,10,0.5,200,TRUE,TRUE,5000001
"m1",-0.457113669365699,-0.5,0.0867622535959972,48,10,0.5,200,TRUE,TRUE,5000001
"m2",-0.0819584198449064,0,0.0661928265982598,48,10,0.5,200,TRUE,TRUE,5000001
"m3",-0.013677275446831,0,0.0657449057038319,48,10,0.5,200,TRUE,TRUE,5000001
"m4",0.0911563158677388,0,0.0939943501638997,48,10,0.5,200,TRUE,TRUE,5000001
"p1",-0.335889841542674,-0.2,0.212166157282975,24,5,0.5,200,FALSE,TRUE,5000001
"p2",-0.107889975912252,0,0.161584163243734,24,5,0.5,200,FALSE,TRUE,5000001
"p3",0.309471992028213,0,0.169230300261985,24,5,0.5,200,FALSE,TRUE,5000001
"p4",-0.950349915730675,-1,0.240439180285847,24,5,0.5,200,FALSE,TRUE,5000001
"m1",-0.0383898868172226,-0.2,0.247729455700342,24,5,0.5,200,FALSE,TRUE,5000001
