"param","est","true","sd","n","tau","EY","B","H0A","H0Y","seed"
"p1",-0.484369728882538,-0.5,0.187300833239562,24,5,0.5,200,TRUE,TRUE,1000001
"p2",-0.0366667098772911,0,0.147362112348658,24,5,0.5,200,TRUE,TRUE,1000001
"p3",0.212234126592943,0,0.175190370421339,24,5,0.5,200,TRUE,TRUE,1000001
"p4",-0.155634299376991,0,0.237504874435207,24,5,0.5,200,TRUE,TRUE,1000001
"m1",-0.182264295816169,-0.5,0.215005938491853,24,5,0.5,200,TRUE,TRUE,1000001
"m2",-0.0414871474153282,0,0.173073063234488,24,5,0.5,200,TRUE,TRUE,1000001
"m3",-0.0486769211451406,0,0.199495560439944,24,5,0.5,200,TRUE,TRUE,1000001
"m4",0.0540845381568948,0,0.273164935649048,24,5,0.5,200,TRUE,TRUE,1000001
"p1",-0.46983560729942,-0.5,0.0720377224349139,48,10,0.5,200,TRUE,TRUE,1000001
"p2",-0.011203284107406,0,0.0537068983210432,48,10,0.5,200,TRUE,TRUE,1000001
"p3",-0.0243501989739065,0,0.0527425174524765,48,10,0.5,200,TRUE,TRUE,1000001
"p4",-0.000555009603034193,0,0.0745013066127993,48,10,0.5,200,TRUE,TRUE,1000001
"m1",-0.499527597183118,-0.5,0.090052389900861,48,10,0.5,200,TRUE,TRUE,1000001
"m2",0.0355612004161148,0,0.066494094391325,48,10,0.5,200,TRUE,TRUE,1000001
"m3",0.0364097109504093,0,0.0659569718254816,48,10,0.5,200,TRUE,TRUE,1000001
"m4",0.00855645567837012,0,0.0925760600413678,48,10,0.5,200,TRUE,TRUE,1000001
"p1",-0.066092326521668,-0.2,0.196228884268536,24,5,0.5,200,FALSE,TRUE,1000001
"p2",-0.130164473697612,0,0.153063204380834,24,5,0.5,200,FALSE,TRUE,1000001
"p3",0.220126526671451,0,0.18054753654306,24,5,0.5,200,FALSE,TRUE,1000001
"p4",-1.06142799566805,-1,0.246708287456468,24,5,0.5,200,FALSE,TRUE,1000001
"m1",-0.112834501198896,-0.2,0.205927381426483,24,5,0.5,200,FALSE,TRUE,1000001
"m2",0.179952970957059,0,0.168184831400212,24,5,0.5,200,FALSE,TRUE,1000001
"m3",0.00205644844655838,0,0.196942501682606,24,5,0.5,200,FALSE,TRUE,1000001
"m4",-1.02032281006373,-1,0.330012935222777,24,5,0.5,200,FALSE,TRUE,1000001
"p1",-0.201099582340809,-0.2,0.0747332097265322,48,10,0.5,200,FALSE,TRUE,1000001
"p2",-0.0279970454084324,0,0.0557125616149604,48,10,0.5,200,FALSE,TRUE,1000001
"p3",0.0547959224230183,0,0.054368954096999,48,10,0.5,200,FALSE,TRUE,1000001
"p4",-1.01862879929923,-1,0.0790928967395131,48,10,0.5,200,FALSE,TRUE,1000001
"m1",-0.231194147770091,-0.2,0.087470812805464,48,10,0.5,200,FALSE,TRUE,1000001
"m2",0.0667669065626498,0,0.0651203759032592,48,10,0.5,200,FALSE,TRUE,1000001
"m3",-0.0252901049632221,0,0.0651438763692206,48,10,0.5,200,FALSE,TRUE,1000001
"m4",-1.02695316934395,-1,0.111874551246327,48,10,0.5,200,FALSE,TRUE,1000001
"p1",-0.0421239675025972,-0.2,0.235921837255875,24,5,0.5,200,FALSE,FALSE,1000001
"p2",-0.149168453086256,0,0.168220484745395,24,5,0.5,200,FALSE,FALSE,1000001
"p3",0.119091418068734,0,0.165003980516189,24,5,0.5,200,FALSE,FALSE,1000001
"p4",-0.757572496113253,-1,0.225617168556475,24,5,0.5,200,FALSE,FALSE,1000001
"m1",-0.104513607854817,-0.2,0.260925987849298,24,5,0.5,200,FALSE,FALSE,1000001
"m2",0.299928573580428,0,0.197669038651596,24,5,0.5,200,FALSE,FALSE,1000001
"m3",0.022526257031274,0,0.192947954472858,24,5,0.5,200,FALSE,FALSE,1000001
"m4",-1.26682394635774,-1,0.320184336363634,24,5,0.5,200,FALSE,FALSE,1000001
"p1",-0.118793814665078,-0.2,0.0731963886541215,48,10,0.5,200,FALSE,FALSE,1000001
"p2",-0.0383723808035745,0,0.0532172935612078,48,10,0.5,200,FALSE,FALSE,1000001
"p3",-0.0575341865870643,0,0.0539781458783328,48,10,0.5,200,FALSE,FALSE,1000001
"p4",-1.01033040314546,-1,0.0793768807194348,48,10,0.5,200,FALSE,FALSE,1000001
"m1",-0.143041596741306,-0.2,0.0831222062688362,48,10,0.5,200,FALSE,FALSE,1000001
"m2",0.102533090013523,0,0.0613397275103695,48,10,0.5,200,FALSE,FALSE,1000001
"m3",-0.0690547832027056,0,0.0635330308244073,48,10,0.5,200,FALSE,FALSE,1000001
"m4",-1.03387421463939,-1,0.11112564750665,48,10,0.5,200,FALSE,FALSE,1000001
"p1",-0.697828391944285,-0.5,0.226816903327765,24,5,0.5,200,TRUE,TRUE,1000002
"p2",0.0705406906399881,0,0.165843372847751,24,5,0.5,200,TRUE,TRUE,1000002
"p3",0.304044921142106,0,0.163572278846213,24,5,0.5,200,TRUE,TRUE,1000002
"p4",-0.320178295559817,0,0.226707593171888,24,5,0.5,200,TRUE,TRUE,1000002
"m1",-0.277738885269874,-0.5,0.29206865491992,24,5,0.5,200,TRUE,TRUE,1000002
"m2",-0.129975542863514,0,0.221599880486188,24,5,0.5,200,TRUE,TRUE,1000002
