"param","est","true","sd","n","tau","EY","B","H0A","H0Y","seed"
"p1",-0.392799202232322,-0.5,0.184558062112198,24,5,0.5,200,TRUE,TRUE,8000001
"p2",-0.0277330287339123,0,0.145574975329518,24,5,0.5,200,TRUE,TRUE,8000001
"p3",-0.0868269036241645,0,0.160515783106336,24,5,0.5,200,TRUE,TRUE,8000001
"p4",-0.0951343023791383,0,0.233917272338545,24,5,0.5,200,TRUE,TRUE,8000001
"m1",-0.660793784179242,-0.5,0.237852116307002,24,5,0.5,200,TRUE,TRUE,8000001
"m2",0.0825557245517187,0,0.19233055811558,24,5,0.5,200,TRUE,TRUE,8000001
"m3",-0.296884763834762,0,0.215821339590592,24,5,0.5,200,TRUE,TRUE,8000001
"m4",0.556671636028378,0,0.302854420268767,24,5,0.5,200,TRUE,TRUE,8000001
"p1",-0.626805738621155,-0.5,0.0671846724772457,48,10,0.5,200,TRUE,TRUE,8000001
"p2",0.0579761702394694,0,0.0500079239422372,48,10,0.5,200,TRUE,TRUE,8000001
"p3",0.0598773793889988,0,0.0523991595361219,48,10,0.5,200,TRUE,TRUE,8000001
"p4",-0.0887385754438731,0,0.0745253412415814,48,10,0.5,200,TRUE,TRUE,8000001
"m1",-0.481437676726586,-0.5,0.0870514298552146,48,10,0.5,200,TRUE,TRUE,8000001
"m2",-0.0411999256996366,0,0.0658284186223255,48,10,0.5,200,TRUE,TRUE,8000001
"m3",-0.037786439280337,0,0.0683063873837116,48,10,0.5,200,TRUE,TRUE,8000001
"m4",0.0824239572629027,0,0.0966501639089903,48,10,0.5,200,TRUE,TRUE,8000001
"p1",-0.241820148483222,-0.2,0.193956607486804,24,5,0.5,200,FALSE,TRUE,8000001
"p2",0.0608923022654202,0,0.152575671309192,24,5,0.5,200,FALSE,TRUE,8000001
"p3",0.00167631936846026,0,0.169116923261693,24,5,0.5,200,FALSE,TRUE,8000001
"p4",-1.08709276427765,-1,0.24996127259671,24,5,0.5,200,FALSE,TRUE,8000001
"m1",-0.406122523276867,-0.2,0.221088502441134,24,5,0.5,200,FALSE,TRUE,8000001
"m2",0.132875588267913,0,0.179670419273559,24,5,0.5,200,FALSE,TRUE,8000001
"m3",-0.0798373740673614,0,0.193244917992821,24,5,0.5,200,FALSE,TRUE,8000001
"m4",-0.609991829526286,-1,0.336679150693699,24,5,0.5,200,FALSE,TRUE,8000001
"p1",-0.294346740744613,-0.2,0.0695653025673257,48,10,0.5,200,FALSE,TRUE,8000001
"p2",0.0753732323004144,0,0.0518084664603063,48,10,0.5,200,FALSE,TRUE,8000001
