"param","est","true","sd","n","tau","EY","B","H0A","H0Y","seed"
"p1",-0.350831058338389,-0.5,0.197312571424812,24,5,0.5,200,TRUE,TRUE,7000001
"p2",-0.0679956515133594,0,0.14885311760557,24,5,0.5,200,TRUE,TRUE,7000001
"p3",-0.0387677178410353,0,0.156496614830652,24,5,0.5,200,TRUE,TRUE,7000001
"p4",0.0795377412637626,0,0.226156000631277,24,5,0.5,200,TRUE,TRUE,7000001
"m1",-0.971253688348732,-0.5,0.280333186442119,24,5,0.5,200,TRUE,TRUE,7000001
"m2",0.247798663916688,0,0.203488424075577,24,5,0.5,200,TRUE,TRUE,7000001
"m3",0.185728102058986,0,0.217913789864591,24,5,0.5,200,TRUE,TRUE,7000001
"m4",-0.112758535822475,0,0.295902352087371,24,5,0.5,200,TRUE,TRUE,7000001
"p1",-0.576606978178246,-0.5,0.0660984518690706,48,10,0.5,200,TRUE,TRUE,7000001
"p2",0.0696085932219264,0,0.0522130919553608,48,10,0.5,200,TRUE,TRUE,7000001
"p3",0.0517556019829903,0,0.0525671352631484,48,10,0.5,200,TRUE,TRUE,7000001
"p4",-0.0637273303882639,0,0.0745477467738545,48,10,0.5,200,TRUE,TRUE,7000001
"m1",-0.332406559255218,-0.5,0.0823048456192875,48,10,0.5,200,TRUE,TRUE,7000001
"m2",-0.155307562025534,0,0.0651112308805625,48,10,0.5,200,TRUE,TRUE,7000001
"m3",-0.087136933065385,0,0.0669886604027042,48,10,0.5,200,TRUE,TRUE,7000001
"m4",0.225009824577098,0,0.0931466295012117,48,10,0.5,200,TRUE,TRUE,7000001
"p1",0.123091559756607,-0.2,0.204899380445826,24,5,0.5,200,FALSE,TRUE,7000001
"p2",-0.112335493761883,0,0.153355408868951,24,5,0.5,200,FALSE,TRUE,7000001
"p3",-0.131377240670525,0,0.162553518529503,24,5,0.5,200,FALSE,TRUE,7000001
"p4",-1.06343958878612,-1,0.239948385960027,24,5,0.5,200,FALSE,TRUE,7000001
"m1",-0.847772759348548,-0.2,0.272438465455835,24,5,0.5,200,FALSE,TRUE,7000001
"m2",0.424809794491378,0,0.201823910255489,24,5,0.5,200,FALSE,TRUE,7000001
"m3",0.220033545668332,0,0.213373510597684,24,5,0.5,200,FALSE,TRUE,7000001
